,Player,Runs,BF,4s,6s,Against,Venue,Match Date
563,Brendon McCullum,67,30,4,5,PBKS,Zayed Cricket Stadium,18-Apr-14
564,AB de Villiers,58,30,1,5,RR,M. Chinnaswamy Stadium,11-May-14
565,David Warner,55,30,6,2,MI,Rajiv Gandhi Intl. Cricket Stadium,12-May-14
566,Manish Pandey,94,31,7,6,PBKS,M. Chinnaswamy Stadium,01-Jun-14
567,Rohit Sharma,59,31,3,4,RCB,Wankhede Stadium,06-May-14
568,Shakib Al Hasan,60,32,5,3,RCB,Eden Gardens,22-May-14
569,Michael Hussey,56,32,3,2,RR,Narendra Modi Stadium,19-May-14
570,Brendon McCullum,56,32,5,2,KKR,JSCA Stadium,02-May-14
571,David Miller,54,32,3,3,CSK,Zayed Cricket Stadium,18-Apr-14
572,Gautam Gambhir,54,32,6,1,RR,Narendra Modi Stadium,05-May-14
573,Sanju Samson,52,32,3,4,PBKS,Sharjah Cricket Stadium,20-Apr-14
574,David Hussey,50,33,5,2,SRH,JSCA Stadium,22-May-14
575,Robin Uthappa,83,34,10,1,RCB,Eden Gardens,22-May-14
576,Robin Uthappa,80,34,9,3,MI,Barabati Stadium,14-May-14
577,Ambati Rayudu,68,34,7,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,12-May-14
578,Virat Kohli,67,34,4,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,20-May-14
579,Kevin Pietersen,58,34,9,0,PBKS,IS Bindra Stadium,25-May-14
580,Karun Nair,56,34,8,0,RCB,M. Chinnaswamy Stadium,11-May-14
581,Virender Sehwag,72,35,11,1,KKR,Barabati Stadium,11-May-14
582,Dinesh Karthik,69,35,7,3,PBKS,Arun Jaitley Stadium,19-May-14
583,Suresh Raina,62,35,6,1,RCB,JSCA Stadium,18-May-14
584,JP Duminy,52,35,3,3,KKR,Dubai International Stadium,19-Apr-14
585,Shane Watson,51,35,3,4,CSK,JSCA Stadium,13-May-14
586,Dinesh Karthik,51,35,4,3,CSK,Arun Jaitley Stadium,05-May-14
587,Sanju Samson,74,36,7,3,MI,Wankhede Stadium,25-May-14
588,Brendon McCullum,71,36,8,2,MI,Dubai International Stadium,25-Apr-14
589,Lendl Simmons,67,36,5,4,CSK,Brabourne Stadium,28-May-14
590,Dinesh Karthik,56,36,5,2,KKR,Dubai International Stadium,19-Apr-14
591,Suresh Raina,56,36,5,1,DC,Zayed Cricket Stadium,21-Apr-14
592,Aaron Finch,88,37,8,4,DC,Dubai International Stadium,25-Apr-14
593,Kieron Pollard,78,37,3,6,SRH,Dubai International Stadium,30-Apr-14
594,Jacques Kallis,72,37,5,3,MI,Zayed Cricket Stadium,16-Apr-14
595,Dwayne Smith,66,37,4,5,SRH,Sharjah Cricket Stadium,27-Apr-14
596,Dwayne Smith,66,37,6,3,PBKS,Zayed Cricket Stadium,18-Apr-14
597,Dwayne Smith,79,38,4,8,DC,Arun Jaitley Stadium,05-May-14
598,Gautam Gambhir,63,38,7,0,PBKS,Barabati Stadium,11-May-14
599,Ambati Rayudu,59,38,2,4,CSK,Wankhede Stadium,10-May-14
600,Robin Uthappa,55,38,6,1,DC,Dubai International Stadium,19-Apr-14
601,Gautam Gambhir,69,39,5,2,DC,Arun Jaitley Stadium,07-May-14
602,Lendl Simmons,68,39,5,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,12-May-14
603,Robin Uthappa,65,39,5,3,RR,Narendra Modi Stadium,05-May-14
604,Manoj Tiwary,61,39,5,2,RR,Narendra Modi Stadium,15-May-14
605,MS Dhoni,57,39,2,4,SRH,JSCA Stadium,22-May-14
606,Murali Vijay,52,39,7,1,SRH,Dubai International Stadium,25-Apr-14
607,Shikhar Dhawan,50,39,7,1,RCB,Rajiv Gandhi Intl. Cricket Stadium,20-May-14
608,Virat Kohli,73,40,2,5,CSK,M. Chinnaswamy Stadium,24-May-14
609,Shikhar Dhawan,64,40,4,2,CSK,JSCA Stadium,22-May-14
610,David Warner,58,40,3,3,DC,Dubai International Stadium,25-Apr-14
611,Rohit Sharma,50,40,3,2,CSK,Dubai International Stadium,25-Apr-14
612,Karun Nair,73,41,8,2,DC,Arun Jaitley Stadium,03-May-14
613,Aaron Finch,68,41,7,2,MI,Rajiv Gandhi Intl. Cricket Stadium,12-May-14
614,David Warner,65,41,1,4,MI,Dubai International Stadium,30-Apr-14
615,David Warner,59,41,3,4,RCB,Rajiv Gandhi Intl. Cricket Stadium,20-May-14
616,Manan Vohra,67,42,6,2,KKR,M. Chinnaswamy Stadium,01-Jun-14
617,Manish Pandey,64,42,6,2,MI,Zayed Cricket Stadium,16-Apr-14
618,Parthiv Patel,57,42,7,0,MI,Dubai International Stadium,19-Apr-14
619,Suresh Raina,65,43,3,5,KKR,Eden Gardens,20-May-14
620,Lendl Simmons,62,43,6,2,RR,Narendra Modi Stadium,19-May-14
621,David Warner,61,43,4,3,RCB,M. Chinnaswamy Stadium,04-May-14
622,Wriddhiman Saha,59,43,4,3,MI,Wankhede Stadium,03-May-14
623,Faf du Plessis,54,43,3,3,RCB,M. Chinnaswamy Stadium,24-May-14
624,Rohit Sharma,51,43,4,2,KKR,Barabati Stadium,14-May-14
625,Ajinkya Rahane,72,44,6,1,KKR,Zayed Cricket Stadium,29-Apr-14
626,JP Duminy,67,44,4,3,RCB,Sharjah Cricket Stadium,17-Apr-14
627,Ajinkya Rahane,64,45,8,1,DC,Narendra Modi Stadium,15-May-14
628,Ajinkya Rahane,59,46,6,0,SRH,Zayed Cricket Stadium,18-Apr-14
629,Dwayne Smith,57,49,5,3,MI,Wankhede Stadium,10-May-14
630,Harbhajan Singh,64,19,5,6,PBKS,Wankhede Stadium,12-Apr-15
631,Andre Russell,51,19,5,4,PBKS,Eden Gardens,09-May-15
632,David Warner,61,20,11,1,CSK,Rajiv Gandhi Intl. Cricket Stadium,02-May-15
633,Moises Henriques,57,20,5,4,RCB,Rajiv Gandhi Intl. Cricket Stadium,15-May-15
634,Kieron Pollard,64,21,4,5,CSK,Wankhede Stadium,17-Apr-15
635,Chris Gayle,117,22,7,12,PBKS,M. Chinnaswamy Stadium,06-May-15
636,Dwayne Smith,62,22,8,4,MI,Wankhede Stadium,17-Apr-15
637,Deepak Hooda,54,22,3,4,DC,Arun Jaitley Stadium,12-Apr-15
638,Eoin Morgan,63,23,4,5,RR,Brabourne Stadium,07-May-15
639,Kedar Jadhav,63,24,8,2,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,09-May-15
640,David Warner,57,24,6,4,RCB,M. Chinnaswamy Stadium,13-Apr-15
641,Hardik Pandya,61,25,8,2,KKR,Wankhede Stadium,14-May-15
642,Andre Russell,55,25,4,4,CSK,Eden Gardens,30-Apr-15
643,Rohit Sharma,50,25,6,2,CSK,Eden Gardens,24-May-15
644,George Bailey,61,27,4,3,MI,Wankhede Stadium,12-Apr-15
645,Ambati Rayudu,53,27,4,3,RR,Wankhede Stadium,01-May-15
646,Kieron Pollard,70,28,7,5,RR,Narendra Modi Stadium,14-Apr-15
647,Andre Russell,66,28,9,2,PBKS,Maharashtra Cricket Association's International Stadium,18-Apr-15
648,MS Dhoni,53,28,4,4,SRH,Chidambaram,11-Apr-15
649,AB de Villiers,133,29,19,4,MI,Wankhede Stadium,10-May-15
650,Dwayne Bravo,62,29,8,1,RR,Narendra Modi Stadium,19-Apr-15
651,Suresh Raina,62,29,4,6,RCB,M. Chinnaswamy Stadium,22-Apr-15
652,Chris Gayle,62,29,6,4,DC,Arun Jaitley Stadium,26-Apr-15
653,David Miller,54,29,1,5,RR,Narendra Modi Stadium,21-Apr-15
654,Quinton de Kock,50,29,9,1,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,09-May-15
655,Quinton de Kock,69,30,9,3,RCB,M. Chinnaswamy Stadium,17-May-15
656,David Warner,52,30,5,1,RCB,Rajiv Gandhi Intl. Cricket Stadium,15-May-15
657,Rohit Sharma,50,30,5,1,CSK,Wankhede Stadium,17-Apr-15
658,Shane Watson,104,31,9,5,KKR,Brabourne Stadium,16-May-15
659,David Miller,89,31,2,9,SRH,Rajiv Gandhi Intl. Cricket Stadium,11-May-15
660,Steve Smith,68,32,9,2,SRH,Brabourne Stadium,07-May-15
661,Brendon McCullum,66,32,8,3,PBKS,Chidambaram,25-Apr-15
662,Shaun Marsh,65,32,5,3,RR,Narendra Modi Stadium,21-Apr-15
663,Shreyas Iyer,60,32,3,5,SRH,ACA-VDCA Stadium,18-Apr-15
664,Parthiv Patel,59,32,5,3,PBKS,IS Bindra Stadium,03-May-15
665,Mandeep Singh,54,32,7,2,RR,Maharashtra Cricket Association's International Stadium,20-May-15
666,Karun Nair,61,33,6,2,DC,Brabourne Stadium,03-May-15
667,Unmukt Chand,58,33,8,2,RCB,M. Chinnaswamy Stadium,19-Apr-15
668,Shikhar Dhawan,54,33,6,2,RR,Brabourne Stadium,07-May-15
669,Yuvraj Singh,54,33,5,3,PBKS,Maharashtra Cricket Association's International Stadium,15-Apr-15
670,AB de Villiers,66,34,4,4,RR,Maharashtra Cricket Association's International Stadium,20-May-15
671,JP Duminy,56,34,3,3,RR,Brabourne Stadium,03-May-15
672,Ajinkya Rahane,76,35,6,2,CSK,Narendra Modi Stadium,19-Apr-15
673,Sanju Samson,76,35,7,3,MI,Wankhede Stadium,01-May-15
674,Shane Watson,73,35,6,4,CSK,Narendra Modi Stadium,19-Apr-15
675,Lendl Simmons,68,35,8,3,CSK,Eden Gardens,24-May-15
676,JP Duminy,67,35,4,3,RCB,M. Chinnaswamy Stadium,17-May-15
677,David Warner,58,35,10,1,PBKS,IS Bindra Stadium,27-Apr-15
678,Yusuf Pathan,52,35,5,2,MI,Wankhede Stadium,14-May-15
679,David Warner,91,36,9,4,KKR,ACA-VDCA Stadium,22-Apr-15
680,Ajinkya Rahane,91,36,9,3,DC,Brabourne Stadium,03-May-15
681,David Warner,81,36,6,5,PBKS,Rajiv Gandhi Intl. Cricket Stadium,11-May-15
682,JP Duminy,78,36,3,6,MI,Arun Jaitley Stadium,23-Apr-15
683,Shreyas Iyer,70,36,10,1,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12-May-15
684,Lendl Simmons,59,36,9,2,RCB,M. Chinnaswamy Stadium,19-Apr-15
685,Faf du Plessis,55,36,5,1,PBKS,IS Bindra Stadium,16-May-15
686,Parthiv Patel,51,36,9,0,SRH,Rajiv Gandhi Intl. Cricket Stadium,17-May-15
687,Chris Gayle,96,37,7,7,KKR,Eden Gardens,11-Apr-15
688,Shreyas Iyer,83,37,7,5,MI,Arun Jaitley Stadium,23-Apr-15
689,Mayank Agarwal,68,37,7,2,PBKS,Maharashtra Cricket Association's International Stadium,15-Apr-15
690,Corey Anderson,50,37,5,3,RR,Narendra Modi Stadium,14-Apr-15
691,Brendon McCullum,100,38,7,9,SRH,Chidambaram,11-Apr-15
692,Lendl Simmons,71,38,9,1,PBKS,IS Bindra Stadium,03-May-15
693,Lendl Simmons,65,38,3,5,CSK,Wankhede Stadium,19-May-15
694,Gautam Gambhir,60,38,8,0,DC,Arun Jaitley Stadium,20-Apr-15
695,Shreyas Iyer,54,38,4,3,PBKS,Arun Jaitley Stadium,01-May-15
696,Virat Kohli,82,39,6,4,MI,Wankhede Stadium,10-May-15
697,Moises Henriques,74,39,1,5,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09-May-15
698,Virat Kohli,62,39,1,3,RR,Narendra Modi Stadium,24-Apr-15
699,Gautam Gambhir,57,39,7,1,MI,Eden Gardens,08-Apr-15
700,JP Duminy,54,39,5,2,SRH,ACA-VDCA Stadium,18-Apr-15
701,Mayank Agarwal,52,39,6,1,PBKS,Arun Jaitley Stadium,01-May-15
702,Robin Uthappa,80,40,7,1,CSK,Eden Gardens,30-Apr-15
703,Steve Smith,79,40,8,1,MI,Narendra Modi Stadium,14-Apr-15
704,Ajinkya Rahane,74,40,6,2,PBKS,Narendra Modi Stadium,21-Apr-15
705,George Bailey,60,40,5,2,KKR,Maharashtra Cricket Association's International Stadium,18-Apr-15
706,Yuvraj Singh,57,40,7,2,MI,Wankhede Stadium,05-May-15
707,Virat Kohli,51,40,4,2,CSK,M. Chinnaswamy Stadium,22-Apr-15
708,Gautam Gambhir,58,41,7,1,RCB,Eden Gardens,11-Apr-15
709,AB de Villiers,57,41,9,1,RR,M. Chinnaswamy Stadium,29-Apr-15
710,Corey Anderson,55,41,4,3,KKR,Eden Gardens,08-Apr-15
711,David Warner,53,41,1,3,CSK,Chidambaram,11-Apr-15
712,Lendl Simmons,51,41,6,1,SRH,Wankhede Stadium,25-Apr-15
713,Shikhar Dhawan,50,41,4,2,RCB,M. Chinnaswamy Stadium,13-Apr-15
714,Albie Morkel,73,43,8,1,CSK,Chidambaram,09-Apr-15
715,Lendl Simmons,68,43,5,3,RCB,Wankhede Stadium,10-May-15
716,Michael Hussey,56,43,3,2,RCB,JSCA Stadium,22-May-15
717,Shikhar Dhawan,54,43,4,1,KKR,ACA-VDCA Stadium,22-Apr-15
718,Brendon McCullum,81,44,7,4,RR,Chidambaram,10-May-15
719,Suresh Raina,52,44,5,1,RCB,Chidambaram,04-May-15
720,Dwayne Smith,57,45,9,1,MI,Eden Gardens,24-May-15
721,Rohit Sharma,98,46,12,4,KKR,Eden Gardens,08-Apr-15
722,Ajinkya Rahane,62,46,9,0,SRH,ACA-VDCA Stadium,16-Apr-15
723,Chris Morris,82,17,4,8,GL,Arun Jaitley Stadium,27-Apr-16
724,Kieron Pollard,51,17,2,6,KKR,Wankhede Stadium,28-Apr-16
725,David Warner,58,21,4,5,RCB,M. Chinnaswamy Stadium,12-Apr-16
726,Quinton de Kock,108,22,15,3,RCB,M. Chinnaswamy Stadium,17-Apr-16
727,Krunal Pandya,86,22,7,6,DC,ACA-VDCA Stadium,15-May-16
728,David Warner,59,23,7,3,PBKS,Rajiv Gandhi Intl. Cricket Stadium,23-Apr-16
729,David Warner,69,24,8,3,RCB,M. Chinnaswamy Stadium,29-May-16
730,Robin Uthappa,53,24,9,0,PBKS,IS Bindra Stadium,19-Apr-16
731,AB de Villiers,129,25,10,12,GL,M. Chinnaswamy Stadium,14-May-16
732,AB de Villiers,83,25,6,4,RPS,Maharashtra Cricket Association's International Stadium,22-Apr-16
733,Chris Gayle,76,25,4,8,SRH,M. Chinnaswamy Stadium,29-May-16
734,Rishabh Pant,69,25,9,2,GL,Saurashtra Cricket Association Stadium,03-May-16
735,AB de Villiers,55,25,9,1,DC,M. Chinnaswamy Stadium,17-Apr-16
736,AB de Villiers,82,26,7,6,SRH,M. Chinnaswamy Stadium,12-Apr-16
737,Chris Gayle,73,26,4,8,PBKS,M. Chinnaswamy Stadium,18-May-16
738,Dwayne Smith,53,26,5,3,DC,Arun Jaitley Stadium,27-Apr-16
739,Manish Pandey,52,26,3,3,MI,Eden Gardens,13-Apr-16
740,KL Rahul,51,26,6,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,30-Apr-16
741,Yusuf Pathan,60,27,6,3,RCB,M. Chinnaswamy Stadium,02-May-16
742,Brendon McCullum,60,27,6,3,DC,Arun Jaitley Stadium,27-Apr-16
743,Quinton de Kock,52,27,6,2,PBKS,IS Bindra Stadium,07-May-16
744,Dinesh Karthik,51,27,8,1,KKR,Eden Gardens,08-May-16
745,Virat Kohli,113,28,12,8,PBKS,M. Chinnaswamy Stadium,18-May-16
746,Nitish Rana,70,28,7,4,GL,Green Park,21-May-16
747,Dwayne Smith,63,28,9,1,RPS,Maharashtra Cricket Association's International Stadium,29-Apr-16
748,Shikhar Dhawan,51,28,4,3,KKR,Eden Gardens,22-May-16
749,Steve Smith,101,29,8,5,GL,Maharashtra Cricket Association's International Stadium,29-Apr-16
750,David Warner,74,29,9,0,GL,Saurashtra Cricket Association Stadium,21-Apr-16
751,Glenn Maxwell,68,29,6,4,KKR,Eden Gardens,04-May-16
752,AB de Villiers,59,29,5,3,KKR,Eden Gardens,16-May-16
753,Wriddhiman Saha,52,29,7,0,DC,IS Bindra Stadium,07-May-16
754,KL Rahul,52,29,6,2,KKR,M. Chinnaswamy Stadium,02-May-16
755,Gurkeerat Mann Singh,51,29,3,3,RPS,ACA-VDCA Stadium,21-May-16
756,Hashim Amla,96,30,14,2,SRH,IS Bindra Stadium,15-May-16
757,AB de Villiers,64,30,5,2,PBKS,IS Bindra Stadium,09-May-16
758,MS Dhoni,64,30,4,5,PBKS,ACA-VDCA Stadium,21-May-16
759,Suresh Raina,58,30,8,2,MI,Green Park,21-May-16
760,Yusuf Pathan,52,30,3,2,SRH,Eden Gardens,22-May-16
761,Virat Kohli,108,31,8,7,RPS,M. Chinnaswamy Stadium,07-May-16
762,Dwayne Smith,73,31,5,6,RCB,M. Chinnaswamy Stadium,24-May-16
763,Ambati Rayudu,65,31,4,4,PBKS,IS Bindra Stadium,25-Apr-16
764,Yusuf Pathan,63,31,7,1,GL,Eden Gardens,08-May-16
765,Manan Vohra,51,31,7,0,RPS,IS Bindra Stadium,17-Apr-16
766,Aaron Finch,50,31,7,2,SRH,Arun Jaitley Stadium,27-May-16
767,David Warner,92,32,9,5,RCB,Rajiv Gandhi Intl. Cricket Stadium,30-Apr-16
768,Aaron Finch,74,32,12,0,PBKS,IS Bindra Stadium,11-Apr-16
769,Ajinkya Rahane,66,32,7,3,MI,Wankhede Stadium,09-Apr-16
770,Virat Kohli,54,32,5,2,SRH,M. Chinnaswamy Stadium,29-May-16
771,Gautam Gambhir,51,32,7,0,RCB,Eden Gardens,16-May-16
772,AB de Villiers,79,33,5,5,GL,M. Chinnaswamy Stadium,24-May-16
773,Faf du Plessis,69,33,5,4,GL,Saurashtra Cricket Association Stadium,14-Apr-16
774,Glenn Maxwell,56,33,5,1,MI,IS Bindra Stadium,25-Apr-16
775,Sam Billings,54,33,3,2,KKR,Arun Jaitley Stadium,30-Apr-16
776,Suresh Raina,53,33,7,1,KKR,Green Park,19-May-16
777,Aaron Finch,50,33,7,2,RPS,Saurashtra Cricket Association Stadium,14-Apr-16
778,Suresh Raina,75,34,9,0,SRH,Saurashtra Cricket Association Stadium,21-Apr-16
779,Ajinkya Rahane,74,34,8,2,RCB,M. Chinnaswamy Stadium,07-May-16
780,KL Rahul,51,34,4,3,GL,Saurashtra Cricket Association Stadium,24-Apr-16
781,Manish Pandey,50,34,5,2,RCB,Eden Gardens,16-May-16
782,David Warner,93,35,11,3,GL,Arun Jaitley Stadium,27-May-16
783,Murali Vijay,89,36,12,1,RCB,IS Bindra Stadium,09-May-16
784,Virat Kohli,79,36,7,3,DC,M. Chinnaswamy Stadium,17-Apr-16
785,Rohit Sharma,68,36,8,2,KKR,Wankhede Stadium,28-Apr-16
786,Murali Vijay,59,36,4,3,RPS,ACA-VDCA Stadium,21-May-16
787,Murali Vijay,55,36,6,0,GL,Saurashtra Cricket Association Stadium,01-May-16
788,Karun Nair,54,36,6,1,RCB,M. Chinnaswamy Stadium,17-Apr-16
789,Virat Kohli,75,37,5,3,KKR,Eden Gardens,16-May-16
790,Ajinkya Rahane,60,37,8,0,RCB,Maharashtra Cricket Association's International Stadium,22-Apr-16
791,Saurabh Tiwary,52,37,9,0,RCB,M. Chinnaswamy Stadium,07-May-16
792,Kane Williamson,50,37,7,0,RCB,Rajiv Gandhi Intl. Cricket Stadium,30-Apr-16
793,Rohit Sharma,85,38,8,3,RPS,Maharashtra Cricket Association's International Stadium,01-May-16
794,Rohit Sharma,84,38,10,2,KKR,Eden Gardens,13-Apr-16
795,Robin Uthappa,70,38,6,2,PBKS,Eden Gardens,04-May-16
796,Ajinkya Rahane,63,38,7,0,DC,Arun Jaitley Stadium,05-May-16
797,Rohit Sharma,62,38,4,3,RCB,Wankhede Stadium,20-Apr-16
798,Quinton de Kock,59,38,9,1,PBKS,Arun Jaitley Stadium,15-Apr-16
799,Wriddhiman Saha,56,38,6,1,MI,ACA-VDCA Stadium,13-May-16
800,David Warner,52,38,5,1,PBKS,IS Bindra Stadium,15-May-16
801,Virat Kohli,109,39,5,8,GL,M. Chinnaswamy Stadium,14-May-16
802,Karun Nair,68,39,9,1,KKR,Arun Jaitley Stadium,30-Apr-16
803,Gautam Gambhir,64,39,4,1,MI,Eden Gardens,13-Apr-16
804,Suryakumar Yadav,60,39,6,2,RPS,Maharashtra Cricket Association's International Stadium,24-Apr-16
805,Gautam Gambhir,59,39,6,1,MI,Wankhede Stadium,28-Apr-16
806,Saurabh Tiwary,57,39,4,2,MI,Maharashtra Cricket Association's International Stadium,01-May-16
807,Dinesh Karthik,50,39,3,0,RCB,Saurashtra Cricket Association Stadium,24-Apr-16
808,Virat Kohli,100,40,11,1,GL,Saurashtra Cricket Association Stadium,24-Apr-16
809,Virat Kohli,75,40,7,3,SRH,M. Chinnaswamy Stadium,12-Apr-16
810,David Warner,73,40,8,1,DC,Shaheed Veer Narayan Singh International Cricket Stadium,20-May-16
811,Sanju Samson,60,40,4,2,MI,Arun Jaitley Stadium,23-Apr-16
812,Shaun Marsh,56,40,5,1,KKR,IS Bindra Stadium,19-Apr-16
813,Virat Kohli,54,40,6,0,DC,Shaheed Veer Narayan Singh International Cricket Stadium,22-May-16
814,Shikhar Dhawan,53,40,5,0,GL,Saurashtra Cricket Association Stadium,21-Apr-16
815,Gautam Gambhir,90,41,13,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,16-Apr-16
816,Parthiv Patel,81,41,10,2,PBKS,IS Bindra Stadium,25-Apr-16
817,Shakib Al Hasan,66,41,4,4,GL,Eden Gardens,08-May-16
818,Rohit Sharma,65,41,7,1,DC,Arun Jaitley Stadium,23-Apr-16
819,Eoin Morgan,51,41,3,2,KKR,Rajiv Gandhi Intl. Cricket Stadium,16-Apr-16
820,David Warner,90,42,7,4,MI,Rajiv Gandhi Intl. Cricket Stadium,18-Apr-16
821,Karun Nair,83,42,8,3,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,20-May-16
822,KL Rahul,68,42,3,4,MI,M. Chinnaswamy Stadium,11-May-16
823,Ajinkya Rahane,67,42,4,3,KKR,Maharashtra Cricket Association's International Stadium,24-Apr-16
824,Faf du Plessis,67,42,8,0,PBKS,IS Bindra Stadium,17-Apr-16
825,Gautam Gambhir,54,42,6,1,PBKS,Eden Gardens,04-May-16
826,Dinesh Karthik,53,42,5,0,DC,Saurashtra Cricket Association Stadium,03-May-16
827,Virat Kohli,52,42,4,0,KKR,M. Chinnaswamy Stadium,02-May-16
828,Marcus Stoinis,52,42,3,2,DC,IS Bindra Stadium,07-May-16
829,Aaron Finch,51,42,3,1,SRH,Rajiv Gandhi Intl. Cricket Stadium,06-May-16
830,Shikhar Dhawan,82,43,10,1,MI,ACA-VDCA Stadium,08-May-16
