,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1223,Yuzvendra Chahal,14,14,49.2,386,18,Apr-38,21.44,7.82,16.44,1,0
1224,Rashid Khan,15,15,60,377,17,Mar-21,22.17,6.28,21.17,0,0
1225,Harbhajan Singh,11,11,44,312,16,Mar-20,19.5,7.09,16.5,0,0
1226,Lasith Malinga,12,12,44.5,438,16,Apr-31,27.37,9.76,16.81,2,0
1227,Ravindra Jadeja,16,16,54,343,15,03-Sep,22.86,6.35,21.6,0,0
1228,Ravichandran Ashwin,14,14,55,400,15,Mar-23,26.66,7.27,22,0,0
1229,Hardik Pandya,16,16,42.3,390,14,Mar-20,27.85,9.17,18.21,0,0
1230,Rahul Chahar,13,13,47,308,13,Mar-19,23.69,6.55,21.69,0,0
1231,Ishant Sharma,13,13,46,349,13,Mar-38,26.84,7.58,21.23,0,0
1232,Bhuvneshwar Kumar,15,15,59,461,13,Feb-24,35.46,7.81,27.23,0,0
1233,Chris Morris,9,9,33,306,13,Mar-22,23.53,9.27,15.23,0,0
1234,Krunal Pandya,16,16,46,335,12,Mar-34,27.91,7.28,23,0,0
1235,Sandeep Sharma,11,11,42.4,352,12,Mar-19,29.33,8.25,21.33,0,0
1236,Amit Mishra,11,11,40,270,11,Mar-17,24.54,6.75,21.81,0,0
1237,Jofra Archer,11,11,43,291,11,Mar-15,26.45,6.76,23.45,0,0
1238,Dwayne Bravo,12,12,41.1,330,11,Mar-33,30,8.01,22.45,0,0
1239,Navdeep Saini,13,13,48,397,11,Feb-24,36.09,8.27,26.18,0,0
1240,Andre Russell,14,12,30.1,287,11,Feb-21,26.09,9.51,16.45,0,0
1241,Axar Patel,14,14,51,364,10,Feb-22,36.4,7.13,30.6,0,0
1242,Sunil Narine,12,12,44.2,347,10,Feb-19,34.7,7.82,26.6,0,0
1243,Piyush Chawla,13,13,44.3,399,10,Mar-20,39.9,8.96,26.7,0,0
1244,Sam Curran,9,9,33,323,10,04-Nov,32.3,9.78,19.8,1,0
1245,Jaydev Unadkat,11,11,37.2,398,10,Feb-26,39.8,10.66,22.4,0,0
1246,Keemo Paul,8,8,27.1,237,9,Mar-17,26.33,8.72,18.11,0,0
1247,Mohammad Nabi,8,8,29.1,194,8,04-Nov,24.25,6.65,21.87,1,0
1248,Sandeep Lamichhane,6,6,23,210,8,Mar-40,26.25,9.13,17.25,0,0
1249,Shardul Thakur,10,9,30,281,8,Feb-18,35.12,9.36,22.5,0,0
1250,Umesh Yadav,11,11,37.5,371,8,Mar-36,46.37,9.8,28.37,0,0
1251,Harry Gurney,8,8,27,238,7,Feb-25,34,8.81,23.14,0,0
1252,Mohammed Siraj,9,9,28.1,269,7,Feb-38,38.42,9.55,24.14,0,0
1253,Hardus Viljoen,6,6,23,222,7,Feb-39,31.71,9.65,19.71,0,0
1254,Moeen Ali,11,9,25,169,6,Feb-18,28.16,6.76,25,0,0
1255,Siddarth Kaul,7,7,27,242,6,Feb-34,40.33,8.96,27,0,0
1256,Dhawal Kulkarni,10,10,35,335,6,Jan-14,55.83,9.57,35,0,0
1257,Alzarri Joseph,3,3,8.4,87,6,06-Dec,14.5,10.03,8.66,0,1
1258,Ben Stokes,9,6,16.5,189,6,Feb-39,31.5,11.22,16.83,0,0
1259,Murugan Ashwin,10,10,34,255,5,Feb-25,51,7.5,40.8,0,0
1260,Oshane Thomas,4,4,10,79,5,02-Jun,15.8,7.9,12,0,0
1261,Trent Boult,5,5,19,163,5,Feb-27,32.6,8.57,22.8,0,0
1262,Jason Behrendorff,5,5,19,165,5,Feb-22,33,8.68,22.8,0,0
1263,Mitchell Santner,4,4,14,94,4,Feb-13,23.5,6.71,21,0,0
1264,Washington Sundar,3,3,9,74,4,Mar-24,18.5,8.22,13.5,0,0
1265,Dale Steyn,2,2,8,69,4,Feb-29,17.25,8.62,12,0,0
1266,Kuldeep Yadav,9,9,33,286,4,Feb-41,71.5,8.66,49.5,0,0
1267,Prasidh Krishna,11,11,40.2,377,4,Jan-22,94.25,9.34,60.5,0,0
1268,Ish Sodhi,2,2,7.1,67,4,Mar-26,16.75,9.34,10.75,0,0
1269,Varun Aaron,5,5,12,116,4,Feb-20,29,9.66,18,0,0
1270,Mitchell McClenaghan,5,5,18,142,3,Mar-40,47.33,7.88,36,0,0
1271,Nitish Rana,14,6,8,72,3,01-Aug,24,9,16,0,0
1272,Pawan Negi,7,4,11.1,102,3,Feb-21,34,9.13,22.33,0,0
1273,Ankit Rajpoot,4,4,16,152,3,Feb-33,50.66,9.5,32,0,0
1274,Mujeeb Ur Rahman,5,5,19,191,3,Feb-31,63.66,10.05,38,0,0
1275,Andrew Tye,6,6,22,233,3,Jan-37,77.66,10.59,44,0,0
1276,Arshdeep Singh,3,3,10,109,3,Feb-43,36.33,10.9,20,0,0
1277,Rahul Tewatia,5,3,6.2,42,2,01-Oct,21,6.63,19,0,0
1278,Jagadeesha Suchith,1,1,4,28,2,Feb-28,14,7,12,0,0
1279,Sandeep Warrier,3,3,12,85,2,Feb-31,42.5,7.08,36,0,0
1280,Riyan Parag,7,7,14,121,2,01-Oct,60.5,8.64,42,0,0
1281,Marcus Stoinis,10,6,16.4,145,2,Jan-13,72.5,8.7,50,0,0
1282,Shakib Al Hasan,3,3,10.5,95,2,Jan-26,47.5,8.76,32.5,0,0
1283,Scott Kuggeleijn,2,2,8,71,2,Feb-37,35.5,8.87,24,0,0
1284,Harshal Patel,2,2,8,77,2,Feb-40,38.5,9.62,24,0,0
1285,Shahbaz Nadeem,3,3,9,90,2,Jan-24,45,10,27,0,0
1286,Lockie Ferguson,5,5,17,183,2,Jan-38,91.5,10.76,51,0,0
1287,Anukul Roy,1,1,2,11,1,01-Nov,11,5.5,12,0,0
1288,Stuart Binny,8,5,7,44,1,Jan-19,44,6.28,42,0,0
1289,Jayant Yadav,2,2,7,50,1,Jan-25,50,7.14,42,0,0
1290,Krishnappa Gowtham,7,7,20,166,1,Jan-32,166,8.3,120,0,0
1291,Sherfane Rutherford,7,6,6.5,59,1,01-Jun,59,8.63,41,0,0
1292,Vijay Shankar,15,5,8,70,1,01-Nov,70,8.75,48,0,0
1293,Mohit Sharma,1,1,3,27,1,Jan-27,27,9,18,0,0
1294,Kulwant Khejroliya,2,2,5,47,1,Jan-29,47,9.4,30,0,0
1295,Mayank Markande,3,3,6,59,1,Jan-23,59,9.83,36,0,0
1296,Deepak Hooda,11,2,2,21,1,Jan-13,21,10.5,12,0,0
1297,Abhishek Sharma,3,2,2,21,1,01-Oct,21,10.5,12,0,0
1298,Prithvi Raj Yarra,2,2,5,57,1,Jan-29,57,11.4,30,0,0
1299,Karn Sharma,1,1,2.5,33,1,Jan-33,33,11.64,17,0,0
1300,Varun Chakaravarthy,1,1,3,35,1,Jan-35,35,11.66,18,0,0
1301,Tim Southee,3,3,9,118,1,Jan-24,118,13.11,54,0,0
1302,Ben Cutting,3,1,2,27,1,Jan-27,27,13.5,12,0,0
1303,Shivam Dube,4,2,1.4,8,0,0/3,0,4.8,0,0,0
1304,Suresh Raina,17,1,1,6,0,0/6,0,6,0,0,0
1305,Yusuf Pathan,10,1,1,8,0,0/8,0,8,0,0,0
1306,Hanuma Vihari,2,1,1,9,0,0/9,0,9,0,0,0
1307,Basil Thampi,3,3,12,110,0,0/29,0,9.16,0,0,0
1308,Harpreet Brar,2,2,5,48,0,0/24,0,9.6,0,0,0
1309,Carlos Brathwaite,2,2,3,29,0,0/13,0,9.66,0,0,0
1310,Avesh Khan,1,1,3,30,0,0/30,0,10,0,0,0
1311,Rasikh Salam,1,1,4,42,0,0/42,0,10.5,0,0,0
1312,Colin de Grandhomme,4,3,5,55,0,0/12,0,11,0,0,0
1313,Barinder Sran,2,2,4,51,0,0/24,0,12.75,0,0,0
1314,Liam Livingstone,4,1,1,13,0,0/13,0,13,0,0,0
1315,Mandeep Singh,13,2,2,26,0,0/8,0,13,0,0,0
1316,Sudhesan Midhun,1,1,2,27,0,0/27,0,13.5,0,0,0
1317,Prayas Ray Barman,1,1,4,56,0,0/56,0,14,0,0,0
1318,KC Cariappa,1,1,2,34,0,0/34,0,17,0,0,0
1319,Sarfaraz Khan,8,1,0.2,6,0,0/6,0,18,0,0,0
1320,Kagiso Rabada,17,17,65.4,548,30,Apr-24,18.26,8.34,13.13,2,0
1321,Jasprit Bumrah,15,15,60,404,27,Apr-14,14.96,6.73,13.33,2,0
1322,Trent Boult,15,15,57.2,457,25,Apr-18,18.28,7.97,13.76,1,0
1323,Anrich Nortje,16,16,61,512,22,Mar-33,23.27,8.39,16.63,0,0
1324,Yuzvendra Chahal,15,15,57.1,405,21,Mar-18,19.28,7.08,16.33,0,0
1325,Rashid Khan,16,16,64,344,20,03-Jul,17.2,5.37,19.2,0,0
1326,Jofra Archer,14,14,55.4,365,20,Mar-19,18.25,6.55,16.7,0,0
1327,Mohammad Shami,14,14,53.4,460,20,Mar-15,23,8.57,16.1,0,0
1328,Varun Chakaravarthy,13,13,52,356,17,May-20,20.94,6.84,18.35,0,1
1329,T Natarajan,16,16,62.5,504,16,Feb-24,31.5,8.02,23.56,0,0
1330,Rahul Chahar,15,15,53,433,15,Feb-18,28.86,8.16,21.2,0,0
1331,Sandeep Sharma,13,13,52,374,14,Mar-34,26.71,7.19,22.28,0,0
1332,Jason Holder,7,7,28,233,14,Mar-25,16.64,8.32,12,0,0
1333,Ravichandran Ashwin,15,15,51,391,13,Mar-29,30.07,7.66,23.53,0,0
1334,Sam Curran,14,13,42,344,13,Mar-19,26.46,8.19,19.38,0,0
1335,Marcus Stoinis,17,13,29.4,283,13,Mar-26,21.76,9.53,13.69,0,0
1336,Ravi Bishnoi,14,14,51,376,12,Mar-29,31.33,7.37,25.5,0,0
1337,Deepak Chahar,14,14,52,396,12,Feb-18,33,7.61,26,0,0
1338,Pat Cummins,14,14,52,409,12,Apr-34,34.08,7.86,26,1,0
1339,Chris Morris,9,9,31.4,210,11,Apr-26,19.09,6.63,17.27,1,0
1340,Mohammed Siraj,9,9,27.1,236,11,03-Aug,21.45,8.68,14.81,0,0
1341,James Pattinson,10,10,35.3,320,11,Feb-19,29.09,9.01,19.36,0,0
1342,Rahul Tewatia,14,14,46,326,10,Mar-25,32.6,7.08,27.6,0,0
1343,Murugan Ashwin,9,9,31.3,235,10,Mar-21,23.5,7.46,18.9,0,0
1344,Shardul Thakur,9,9,32.2,275,10,Feb-28,27.5,8.5,19.4,0,0
1345,Shreyas Gopal,14,14,50,427,10,Feb-28,42.7,8.54,30,0,0
1346,Axar Patel,15,15,51,327,9,Feb-18,36.33,6.41,34,0,0
1347,Shivam Mavi,8,8,26,212,9,Feb-15,23.55,8.15,17.33,0,0
1348,Arshdeep Singh,8,8,24.5,218,9,Mar-23,24.22,8.77,16.55,0,0
1349,Kartik Tyagi,10,10,38.1,367,9,Feb-36,40.77,9.61,25.44,0,0
1350,Chris Jordan,9,9,31.3,304,9,Mar-17,33.77,9.65,21,0,0
1351,Lungi Ngidi,4,4,16,167,9,Mar-38,18.55,10.43,10.66,0,0
1352,Washington Sundar,15,15,50,298,8,Feb-16,37.25,5.96,37.5,0,0
1353,Khaleel Ahmed,7,7,25.4,242,8,Feb-24,30.25,9.42,19.25,0,0
1354,Isuru Udana,10,10,29,282,8,Feb-41,35.25,9.72,21.75,0,0
1355,Lockie Ferguson,5,5,19.5,148,6,Mar-15,24.66,7.46,19.83,0,0
1356,Krunal Pandya,16,16,50.1,380,6,Feb-26,63.33,7.57,50.16,0,0
1357,Navdeep Saini,13,13,45.4,379,6,Feb-25,63.16,8.29,45.66,0,0
1358,Dwayne Bravo,6,6,21,180,6,Mar-37,30,8.57,21,0,0
1359,Ravindra Jadeja,14,13,36.2,318,6,Feb-42,53,8.75,36.33,0,0
1360,Sheldon Cottrell,6,6,20,176,6,Feb-17,29.33,8.8,20,0,0
1361,Piyush Chawla,7,7,21,191,6,Feb-33,31.83,9.09,21,0,0
1362,Andre Russell,10,7,18,175,6,Feb-29,29.16,9.72,18,0,0
1363,Nathan Coulter-Nile,7,7,26,206,5,Feb-29,41.2,7.92,31.2,0,0
1364,Sunil Narine,10,10,38,302,5,Feb-28,60.4,7.94,45.6,0,0
1365,Shahbaz Nadeem,7,7,22,178,5,Feb-19,35.6,8.09,26.4,0,0
1366,Karn Sharma,5,5,19,165,5,Feb-25,33,8.68,22.8,0,0
1367,Kamlesh Nagarkoti,10,9,26,231,5,Feb-13,46.2,8.88,31.2,0,0
1368,Vijay Shankar,7,5,13.1,82,4,01-Nov,20.5,6.22,19.75,0,0
1369,Shivam Dube,11,5,9,73,4,Feb-15,18.25,8.11,13.5,0,0
1370,Kieron Pollard,16,11,21,190,4,01-May,47.5,9.04,31.5,0,0
1371,Prasidh Krishna,6,6,17.3,164,4,Mar-29,41,9.37,26.25,0,0
1372,Jaydev Unadkat,7,7,23,228,4,Feb-32,57,9.91,34.5,0,0
1373,Bhuvneshwar Kumar,4,4,14.1,99,3,Feb-25,33,6.98,28.33,0,0
1374,Amit Mishra,3,3,10,72,3,Feb-35,24,7.2,20,0,0
1375,Glenn Maxwell,13,7,21,169,3,01-Oct,56.33,8.04,42,0,0
1376,Harshal Patel,5,5,15,134,3,Feb-34,44.66,8.93,30,0,0
1377,Tushar Deshpande,5,5,17,192,3,Feb-37,64,11.29,34,0,0
1378,Tom Curran,5,5,18.1,208,3,Jan-37,69.33,11.44,36.33,0,0
1379,Shahbaz Ahmed,2,2,6,44,2,Feb-26,22,7.33,18,0,0
1380,Mitchell Santner,2,2,7,53,2,Jan-23,26.5,7.57,21,0,0
1381,Adam Zampa,3,3,11,92,2,01-Dec,46,8.36,33,0,0
1382,Abhishek Sharma,8,6,10,91,2,Jan-15,45.5,9.1,30,0,0
1383,Jimmy Neesham,5,5,15,148,2,Jan-17,74,9.86,45,0,0
1384,Ben Stokes,8,6,15,154,2,Feb-32,77,10.26,45,0,0
1385,Ankit Rajpoot,6,6,17,199,2,Jan-39,99.5,11.7,51,0,0
1386,Siddarth Kaul,1,1,4,64,2,Feb-64,32,16,12,0,0
1387,Jayant Yadav,2,2,7,43,1,Jan-25,43,6.14,42,0,0
1388,Josh Hazlewood,3,3,10,64,1,Jan-19,64,6.4,60,0,0
1389,Imran Tahir,3,3,11,76,1,Jan-24,76,6.9,66,0,0
1390,Kuldeep Yadav,5,4,12,92,1,Jan-20,92,7.66,72,0,0
1391,Moeen Ali,3,3,5,42,1,Jan-21,42,8.4,30,0,0
1392,Krishnappa Gowtham,2,2,8,84,1,Jan-45,84,10.5,48,0,0
1393,Mohit Sharma,1,1,4,45,1,Jan-45,45,11.25,24,0,0
1394,Dale Steyn,3,3,11.4,133,1,Jan-33,133,11.4,70,0,0
1395,Basil Thampi,1,1,4,46,1,Jan-46,46,11.5,24,0,0
1396,Andrew Tye,1,1,4,50,1,Jan-50,50,12.5,24,0,0
1397,Abdul Samad,12,3,7,96,1,Jan-41,96,13.71,42,0,0
1398,Mohammad Nabi,1,1,4,23,0,0/23,0,5.75,0,0,0
1399,Chris Gayle,7,1,0.5,5,0,0/5,0,6,0,0,0
1400,Dhawal Kulkarni,1,1,3,22,0,0/22,0,7.33,0,0,0
1401,Chris Green,1,1,2.5,24,0,0/24,0,8.47,0,0,0
1402,Ishant Sharma,1,1,3,26,0,0/26,0,8.66,0,0,0
1403,Deepak Hooda,7,1,1,9,0,0/9,0,9,0,0,0
1404,Mitchell Marsh,1,1,0.4,6,0,0/6,0,9,0,0,0
1405,Pravin Dubey,3,3,8,72,0,0/14,0,9,0,0,0
1406,Daniel Sams,3,3,12,114,0,0/30,0,9.5,0,0,0
1407,Monu Kumar,1,1,2,20,0,0/20,0,10,0,0,0
1408,Harpreet Brar,1,1,4,41,0,0/41,0,10.25,0,0,0
1409,Mujeeb Ur Rahman,2,2,8,83,0,0/39,0,10.37,0,0,0
1410,Avesh Khan,1,1,4,42,0,0/42,0,10.5,0,0,0
1411,Sandeep Warrier,1,1,3,34,0,0/34,0,11.33,0,0,0
1412,Nitish Rana,14,2,2,23,0,0/7,0,11.5,0,0,0
1413,Varun Aaron,3,3,8,94,0,0/22,0,11.75,0,0,0
1414,Umesh Yadav,2,2,7,83,0,0/35,0,11.85,0,0,0
1415,Kane Williamson,12,1,2,24,0,0/24,0,12,0,0,0
1416,David Warner,16,1,0.1,2,0,0/2,0,12,0,0,0
1417,Riyan Parag,12,2,2,27,0,0/13,0,13.5,0,0,0
1418,Harshal Patel,15,15,56.2,459,32,May-27,14.34,8.14,10.56,1,1
1419,Avesh Khan,16,16,61,450,24,Mar-13,18.75,7.37,15.25,0,0
1420,Jasprit Bumrah,14,14,55,410,21,Mar-36,19.52,7.45,15.71,0,0
1421,Shardul Thakur,16,16,59.5,527,21,Mar-28,25.09,8.8,17.09,0,0
1422,Mohammad Shami,14,14,52.4,395,19,Mar-21,20.78,7.5,16.63,0,0
1423,Varun Chakaravarthy,17,17,68,448,18,Mar-13,24.88,6.58,22.66,0,0
1424,Rashid Khan,14,14,56,375,18,Mar-36,20.83,6.69,18.66,0,0
1425,Yuzvendra Chahal,15,15,53,374,18,03-Nov,20.77,7.05,17.66,0,0
1426,Arshdeep Singh,12,12,41.2,342,18,May-32,19,8.27,13.77,0,1
1427,Sunil Narine,14,14,56,361,16,Apr-21,22.56,6.44,21,1,0
1428,Jason Holder,8,8,31.5,247,16,Apr-52,15.43,7.75,11.93,1,0
1429,Axar Patel,12,12,46,306,15,Mar-21,20.4,6.65,18.4,0,0
1430,Kagiso Rabada,15,15,56,456,15,Mar-36,30.4,8.14,22.4,0,0
1431,Chris Morris,11,11,41,376,15,Apr-23,25.06,9.17,16.4,1,0
1432,Dwayne Bravo,11,11,33.4,263,14,Mar-24,18.78,7.81,14.42,0,0
1433,Chetan Sakariya,14,14,52,426,14,Mar-31,30.42,8.19,22.28,0,0
1434,Deepak Chahar,15,15,54,451,14,Apr-13,32.21,8.35,23.14,2,0
1435,Mustafizur Rahman,14,14,51.5,436,14,Mar-20,31.14,8.41,22.21,0,0
1436,Ravindra Jadeja,16,16,49,346,13,Mar-13,26.61,7.06,22.61,0,0
1437,Rahul Chahar,11,11,43,318,13,Apr-27,24.46,7.39,19.84,1,0
1438,Lockie Ferguson,8,8,30,224,13,Mar-18,17.23,7.46,13.84,0,0
1439,Trent Boult,14,14,51.2,406,13,Mar-28,31.23,7.9,23.69,0,0
1440,Anrich Nortje,8,8,30.2,187,12,02-Dec,15.58,6.16,15.16,0,0
1441,Ravi Bishnoi,9,9,35,222,12,Mar-24,18.5,6.34,17.5,0,0
1442,Prasidh Krishna,10,10,38.3,351,12,Mar-30,29.25,9.11,19.25,0,0
1443,Mohammed Siraj,15,15,52,353,11,Mar-27,32.09,6.78,28.36,0,0
1444,Shivam Mavi,9,9,32.1,233,11,Apr-21,21.18,7.24,17.54,1,0
1445,Josh Hazlewood,9,9,35,293,11,Mar-24,26.63,8.37,19.09,0,0
1446,Andre Russell,10,8,19,188,11,May-15,17.09,9.89,10.36,0,1
1447,Pat Cummins,7,7,26.5,237,9,Mar-24,26.33,8.83,17.88,0,0
1448,Kyle Jamieson,9,9,28,269,9,Mar-41,29.88,9.6,18.66,0,0
1449,Sam Curran,9,9,33,328,9,Mar-34,36.44,9.93,22,0,0
1450,Rahul Tewatia,14,13,37,340,8,Mar-39,42.5,9.18,27.75,0,0
1451,Nathan Coulter-Nile,5,5,20,127,7,Apr-14,18.14,6.35,17.14,1,0
1452,Shahbaz Ahmed,11,6,14,92,7,03-Jul,13.14,6.57,12,0,0
1453,Ravichandran Ashwin,13,13,44.4,331,7,Feb-27,47.28,7.41,38.28,0,0
1454,Siddarth Kaul,8,8,30,247,7,Feb-31,35.28,8.23,25.71,0,0
1455,Moeen Ali,15,10,25.2,161,6,03-Jul,26.83,6.35,25.33,0,0
1456,Amit Mishra,4,4,14,109,6,Apr-24,18.16,7.78,14,1,0
1457,Bhuvneshwar Kumar,11,11,42,335,6,Jan-16,55.83,7.97,42,0,0
1458,Harpreet Brar,7,7,23,139,5,Mar-19,27.8,6.04,27.6,0,0
1459,Kieron Pollard,14,9,13.1,95,5,02-Aug,19,7.21,15.8,0,0
1460,Jimmy Neesham,3,3,9,66,5,03-Dec,13.2,7.33,10.8,0,0
1461,Chris Woakes,3,3,11,82,5,Feb-18,16.4,7.45,13.2,0,0
1462,Krunal Pandya,13,12,33.1,265,5,Jan-13,53,7.98,39.8,0,0
1463,Khaleel Ahmed,7,7,27,219,5,Mar-21,43.8,8.11,32.4,0,0
1464,Lungi Ngidi,3,3,12,125,5,Mar-28,25,10.41,14.4,0,0
1465,Moises Henriques,5,5,10,45,4,03-Dec,11.25,4.5,15,0,0
1466,Abhishek Sharma,8,6,10,64,4,02-Apr,16,6.4,15,0,0
1467,Shakib Al Hasan,8,8,26,187,4,01-Jan,46.75,7.19,39,0,0
1468,Lalit Yadav,7,5,14,101,4,Feb-13,25.25,7.21,21,0,0
1469,Jaydev Unadkat,6,6,22,168,4,Mar-15,42,7.63,33,0,0
1470,Chris Jordan,4,4,12,96,4,Feb-20,24,8,18,0,0
1471,Kartik Tyagi,4,4,14,124,4,Feb-29,31,8.85,21,0,0
1472,Tom Curran,3,3,11.2,104,4,Mar-29,26,9.17,17,0,0
1473,Dan Christian,9,9,16.4,155,4,Feb-14,38.75,9.3,25,0,0
1474,Riley Meredith,5,5,17,169,4,Jan-29,42.25,9.94,25.5,0,0
1475,Washington Sundar,6,6,16,118,3,01-Jul,39.33,7.37,32,0,0
1476,Tim Southee,3,3,12,95,3,Feb-26,31.66,7.91,24,0,0
1477,Venkatesh Iyer,10,4,8.3,69,3,Feb-29,23,8.11,17,0,0
1478,Glenn Maxwell,15,6,16,135,3,Feb-23,45,8.43,32,0,0
1479,Sandeep Sharma,7,7,23.3,203,3,Jan-20,67.66,8.63,47,0,0
1480,George Garton,5,5,15,135,3,Jan-27,45,9,30,0,0
1481,Vijay Shankar,7,5,11,100,3,Feb-19,33.33,9.09,22,0,0
1482,Adam Milne,4,4,14,131,3,Feb-21,43.66,9.35,28,0,0
1483,Jhye Richardson,3,3,11,117,3,Feb-41,39,10.63,22,0,0
1484,Imran Tahir,1,1,4,16,2,Feb-16,8,4,12,0,0
1485,Mujeeb Ur Rahman,1,1,4,29,2,Feb-29,14.5,7.25,12,0,0
1486,Marco Jansen,2,2,6,45,2,Feb-28,22.5,7.5,18,0,0
1487,Jayant Yadav,5,5,17,130,2,Jan-25,65,7.64,51,0,0
1488,Umran Malik,3,3,12,96,2,Jan-21,48,8,36,0,0
1489,Deepak Hooda,12,7,16,136,2,Jan-15,68,8.5,48,0,0
1490,T Natarajan,2,2,8,69,2,Jan-32,34.5,8.62,24,0,0
1491,Marcus Stoinis,10,8,11.1,117,2,01-Jul,58.5,10.47,33.5,0,0
1492,Mohammad Nabi,3,3,8,86,2,Feb-32,43,10.75,24,0,0
1493,Daniel Sams,2,2,6,39,1,Jan-24,39,6.5,36,0,0
1494,Mahipal Lomror,4,4,7,47,1,Jan-22,47,6.71,42,0,0
1495,Ishant Sharma,3,3,12,97,1,Jan-26,97,8.08,72,0,0
1496,Nathan Ellis,3,3,12,98,1,Jan-20,98,8.16,72,0,0
1497,Fabian Allen,4,3,11,90,1,Jan-22,90,8.18,66,0,0
1498,KM Asif,1,1,2.1,18,1,Jan-18,18,8.3,13,0,0
1499,Murugan Ashwin,3,3,11,97,1,Jan-32,97,8.81,66,0,0
1500,Shahbaz Nadeem,1,1,4,36,1,Jan-36,36,9,24,0,0
1501,Abdul Samad,11,1,1,9,1,01-Sep,9,9,6,0,0
1502,Piyush Chawla,1,1,4,38,1,Jan-38,38,9.5,24,0,0
1503,Kane Richardson,1,1,3,29,1,Jan-29,29,9.66,18,0,0
1504,Ishan Porel,1,1,4,39,1,Jan-39,39,9.75,24,0,0
1505,Glenn Phillips,3,2,2,20,1,Jan-17,20,10,12,0,0
1506,Lukman Meriwala,1,1,3,32,1,Jan-32,32,10.66,18,0,0
1507,Riyan Parag,11,6,6.1,73,1,01-Jul,73,11.83,37,0,0
1508,Aiden Markram,6,2,4,23,0,0/5,0,5.75,0,0,0
1509,Nitish Rana,17,2,2,12,0,0/5,0,6,0,0,0
1510,Ripal Patel,2,1,3,22,0,0/22,0,7.33,0,0,0
1511,Sandeep Warrier,1,1,2,15,0,0/15,0,7.5,0,0,0
1512,Kuldip Yadav,1,1,2,16,0,0/16,0,8,0,0,0
1513,Tabraiz Shamsi,1,1,4,34,0,0/34,0,8.5,0,0,0
1514,Mayank Markande,1,1,3,26,0,0/26,0,8.66,0,0,0
1515,Harbhajan Singh,3,3,7,63,0,0/8,0,9,0,0,0
1516,Jalaj Saxena,1,1,3,27,0,0/27,0,9,0,0,0
1517,Jagadeesha Suchith,2,2,7,66,0,0/21,0,9.42,0,0,0
1518,Akash Singh,1,1,4,39,0,0/39,0,9.75,0,0,0
1519,Shivam Dube,9,4,5,49,0,0/5,0,9.8,0,0,0
1520,Wanindu Hasaranga,2,2,6,60,0,0/20,0,10,0,0,0
1521,Rohit Sharma,13,2,1.1,13,0,0/4,0,11.14,0,0,0
1522,Adil Rashid,1,1,3,35,0,0/35,0,11.66,0,0,0
1523,Ben Stokes,1,1,1,12,0,0/12,0,12,0,0,0
1524,Dhawal Kulkarni,1,1,4,48,0,0/48,0,12,0,0,0
1525,Shreyas Gopal,3,3,7,84,0,0/9,0,12,0,0,0
1526,Kamlesh Nagarkoti,1,1,2,25,0,0/25,0,12.5,0,0,0
1527,Navdeep Saini,2,2,4,52,0,0/25,0,13,0,0,0
