POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Chris Gayle,15,14,2,733,128*,61.08,456,160.74,1,7,46,59
2,Gautam Gambhir,17,17,2,590,93,39.33,411,143.55,0,6,64,17
3,Shikhar Dhawan,15,15,1,569,84,40.64,439,129.61,0,5,58,18
4,Ajinkya Rahane,16,16,2,560,103*,40,433,129.33,1,3,73,10
5,Virender Sehwag,16,16,1,495,87*,33,307,161.23,0,5,57,19
6,Cameron White,13,13,2,479,78,43.54,320,149.68,0,5,41,20
7,Rahul Dravid,16,16,0,462,58,28.87,412,112.13,0,2,63,4
8,Suresh Raina,19,18,1,441,73,25.94,325,135.69,0,1,36,19
9,Rohit Sharma,17,16,2,433,109*,30.92,342,126.6,1,3,39,18
10,Mandeep Singh,16,16,0,432,75,27,342,126.31,0,2,53,7
11,Jacques Kallis,17,17,1,409,79,25.56,384,106.51,0,2,34,10
12,Robin Uthappa,16,16,1,405,69,27,343,118.07,0,2,38,10
13,Faf du Plessis,13,12,0,398,73,33.16,304,130.92,0,3,29,17
14,David Hussey,16,15,3,396,68*,33,305,129.83,0,2,28,17
15,Dwayne Bravo,19,16,8,371,48,46.37,264,140.53,0,0,20,20
16,Virat Kohli,16,15,2,364,73*,28,326,111.65,0,2,33,9
17,Steve Smith,15,14,5,362,47*,40.22,267,135.58,0,0,24,14
18,MS Dhoni,19,17,5,358,51*,29.83,278,128.77,0,1,26,9
19,Owais Shah,13,13,4,340,76,37.77,256,132.81,0,3,24,16
20,Murali Vijay,14,14,1,336,113,25.84,267,125.84,1,0,39,10
21,Shaun Marsh,13,13,2,336,68*,30.54,280,120,0,2,39,7
22,Mahela Jayawardena,16,15,3,335,56*,27.91,298,112.41,0,3,39,3
23,Ambati Rayudu,17,15,6,333,81*,37,252,132.14,0,2,21,14
24,Sachin Tendulkar,13,13,2,324,74,29.45,283,114.48,0,2,39,4
25,AB de Villiers,16,13,5,319,64*,39.87,198,161.11,0,3,26,15
26,Kevin Pietersen,8,8,3,305,103*,61,207,147.34,1,1,22,20
27,Brendon McCullum,12,12,0,289,56,24.08,283,102.12,0,1,37,3
28,Tillakaratne Dilshan,10,9,1,285,76*,35.62,261,109.19,0,3,33,5
29,Sourav Ganguly,15,15,0,268,45,17.86,271,98.89,0,0,30,4
30,Michael Hussey,8,8,0,261,56,32.62,236,110.59,0,2,28,8
31,Manoj Tiwary,16,15,5,260,59,26,246,105.69,0,1,21,3
32,Jesse Ryder,11,11,1,256,86,25.6,212,120.75,0,2,23,8
33,David Warner,8,8,1,256,109*,36.57,156,164.1,1,1,28,14
34,Naman Ojha,18,16,5,255,64*,23.18,224,113.83,0,1,21,13
35,Shane Watson,7,7,1,255,90*,42.5,168,151.78,0,2,26,14
36,Brad Hodge,12,12,4,245,48*,30.62,175,140,0,0,18,9
37,JP Duminy,9,9,6,244,74,81.33,190,128.42,0,2,13,11
38,Dinesh Karthik,17,14,1,238,44,18.3,213,111.73,0,0,30,2
39,Mayank Agarwal,16,12,1,225,64*,20.45,158,142.4,0,1,19,15
40,James Franklin,12,11,2,220,79,24.44,223,98.65,0,1,15,6
41,Kieron Pollard,14,11,2,220,64,24.44,159,138.36,0,2,15,14
42,Ashok Menaria,15,12,1,220,40,20,202,108.91,0,0,14,8
43,Manvinder Bisla,7,7,0,213,89,30.42,160,133.12,0,1,16,10
44,Kumar Sangakkara,12,12,1,200,82,18.18,184,108.69,0,1,21,4
45,Ross Taylor,12,12,2,197,55,19.7,171,115.2,0,1,12,7
46,Subramaniam Badrinath,15,9,2,196,57,28,181,108.28,0,1,23,2
47,Yusuf Pathan,17,16,6,194,40*,19.4,169,114.79,0,0,10,7
48,Parthiv Patel,14,13,2,194,45,17.63,165,117.57,0,0,19,4
49,Ravindra Jadeja,19,14,2,191,48,15.91,151,126.49,0,0,13,9
50,Saurabh Tiwary,15,11,3,191,36*,23.87,170,112.35,0,0,9,8
51,Azhar Mahmood,11,10,2,186,36,23.25,142,130.98,0,0,16,8
52,Irfan Pathan,17,12,5,176,42*,25.14,126,139.68,0,0,14,6
53,Adam Gilchrist,7,7,2,172,64*,34.4,143,120.27,0,1,21,4
54,Dwayne Smith,7,6,2,157,87*,39.25,98,160.2,0,1,18,7
55,Yogesh Nagar,13,8,3,152,43*,30.4,133,114.28,0,0,13,3
56,Dan Christian,7,7,2,145,39,29,118,122.88,0,0,8,6
57,Manish Pandey,10,9,2,143,80*,20.42,112,127.67,0,1,12,6
58,Nitin Saini,10,10,0,140,50,14,141,99.29,0,1,16,0
59,Venugopal Rao,10,7,1,132,36,22,126,104.76,0,0,8,5
60,Angelo Mathews,9,8,1,127,35,18.14,108,117.59,0,0,5,4
61,Debabrata Das,15,10,7,126,35*,42,93,135.48,0,0,9,6
62,Marlon Samuels,8,8,1,124,46,17.71,123,100.81,0,0,7,5
63,Mithun Manhas,10,7,3,120,42*,30,96,125,0,0,10,4
64,Daniel Harris,4,4,0,111,47,27.75,101,109.9,0,0,11,5
65,Harbhajan Singh,17,11,2,108,33,12,80,135,0,0,14,3
66,Albie Morkel,16,12,5,107,28,15.28,68,157.35,0,0,5,6
67,Piyush Chawla,16,12,4,106,21*,13.25,88,120.45,0,0,9,4
68,David Miller,6,6,3,98,34*,32.66,75,130.66,0,0,6,4
69,Michael Clarke,6,6,0,98,41,16.33,93,105.37,0,0,12,0
70,Shakib Al Hasan,8,7,1,91,42,15.16,74,122.97,0,0,6,3
71,Stuart Binny,8,6,2,90,30,22.5,67,134.32,0,0,9,3
72,Anustup Majumdar,4,4,0,87,31,21.75,76,114.47,0,0,7,2
73,Gurkeerat Mann Singh,5,4,1,86,29*,28.66,52,165.38,0,0,12,2
74,Richard Levi,6,6,0,83,50,13.83,73,113.69,0,1,10,4
75,Herschelle Gibbs,3,3,1,81,66*,40.5,88,92.04,0,1,8,2
76,Laxmi Ratan Shukla,11,8,2,75,26,12.5,57,131.57,0,0,4,5
77,Akshath Reddy,5,3,0,73,42,24.33,59,123.72,0,0,6,2
78,Bipul Sharma,5,4,1,72,35*,24,47,153.19,0,0,6,3
79,Shreevats Goswami,11,6,1,69,24,13.8,67,102.98,0,0,4,1
80,Vinay Kumar,15,7,2,68,25,13.6,62,109.67,0,0,3,2
81,Siddharth Chitnis,6,4,1,66,38,22,62,106.45,0,0,7,1
82,Johan Botha,11,7,3,58,14*,14.5,54,107.4,0,0,4,1
83,Aaron Finch,2,2,0,55,30,27.5,51,107.84,0,0,8,0
84,Lasith Malinga,14,6,0,55,17,9.16,53,103.77,0,0,4,3
85,Callum Ferguson,4,4,0,50,23,12.5,63,79.36,0,0,3,0
86,Andrew McDonald,4,3,1,47,30,23.5,35,134.28,0,0,6,2
87,Andre Russell,4,2,0,47,31,23.5,26,180.76,0,0,3,3
88,Abhishek Nayar,4,4,1,45,24,15,49,91.83,0,0,2,1
89,Brett Lee,10,3,1,42,25,21,20,210,0,0,2,4
90,Bhuvneshwar Kumar,11,9,6,40,11*,13.33,40,100,0,0,4,0
91,Kevon Cooper,6,4,2,38,14,19,20,190,0,0,3,3
92,Bharat Chipli,5,4,1,37,25*,12.33,35,105.71,0,0,3,2
93,Pawan Negi,8,4,2,36,14,18,29,124.13,0,0,4,1
94,Unmukt Chand,2,2,0,36,18,18,34,105.88,0,0,2,3
95,Rajat Bhatia,17,6,3,35,12,11.66,28,125,0,0,4,0
96,Praveen Kumar,16,7,4,35,10,11.66,30,116.66,0,0,2,1
97,Ashish Reddy,9,6,2,35,10*,8.75,29,120.68,0,0,3,1
98,Robin Peterson,5,5,2,32,16*,10.66,30,106.66,0,0,3,1
99,Daniel Vettori,9,6,2,31,20,7.75,26,119.23,0,0,3,1
100,Paul Valthaty,6,6,0,30,13,5,51,58.82,0,0,4,0
101,Murali Kartik,11,4,4,26,14*,0,21,123.8,0,0,1,1
102,Dishant Yagnik,5,3,2,25,10*,25,13,192.3,0,0,5,0
103,Abhishek Jhunjhunwala,5,3,1,24,19,12,26,92.3,0,0,1,1
104,Ryan ten Doeschate,3,3,1,21,11,10.5,21,100,0,0,1,1
105,Wayne Parnell,6,5,1,19,11,4.75,27,70.37,0,0,2,0
106,Alfonso Thomas,4,2,0,19,12,9.5,15,126.66,0,0,1,1
107,Srikkanth Anirudha,4,2,2,19,18*,0,7,271.42,0,0,1,2
108,Dale Steyn,12,6,1,19,7,3.8,21,90.47,0,0,0,1
109,Ravichandran Ashwin,19,5,2,18,8,6,15,120,0,0,2,0
110,Ankit Sharma,9,4,1,18,15,6,13,138.46,0,0,0,2
111,Ryan Harris,5,2,1,18,15*,18,11,163.63,0,0,1,1
112,Cheteshwar Pujara,3,3,0,17,11,5.66,22,77.27,0,0,1,1
113,Amit Mishra,14,5,2,16,8*,5.33,20,80,0,0,1,0
114,Harmeet Singh Bansal,7,2,1,15,14,15,7,214.28,0,0,3,0
115,Tirumalasetti Suman,2,2,0,15,10,7.5,19,78.94,0,0,1,1
116,Brad Hogg,9,3,1,15,13,7.5,16,93.75,0,0,1,0
117,Paras Dogra,3,3,1,15,6,7.5,24,62.5,0,0,0,0
118,Ishank Jaggi,3,3,1,15,10*,7.5,21,71.42,0,0,0,0
119,Harshal Patel,12,3,1,15,10,7.5,15,100,0,0,1,0
120,James Faulkner,2,2,1,14,11*,14,13,107.69,0,0,0,0
121,Dimitri Mascarenhas,4,3,0,14,9,4.66,16,87.5,0,0,1,0
122,Mohammad Kaif,1,1,0,14,14,14,16,87.5,0,0,1,0
123,Sreenath Aravind,1,1,1,14,14*,0,8,175,0,0,3,0
124,Doug Bracewell,1,1,1,12,12*,0,9,133.33,0,0,1,0
125,Zaheer Khan,16,5,3,12,11*,6,17,70.58,0,0,1,0
126,Ankeet Chavan,8,2,1,11,7*,11,8,137.5,0,0,2,0
127,Ashish Nehra,13,2,2,11,9*,0,12,91.66,0,0,1,0
128,Krishnakant Upadhyay,1,1,1,11,11*,0,8,137.5,0,0,0,1
129,Dhawal Kulkarni,2,1,1,10,10*,0,5,200,0,0,2,0
130,Sunil Narine,15,2,1,9,9*,9,7,128.57,0,0,2,0
131,Clint McKay,2,1,0,8,8,8,15,53.33,0,0,0,0
132,Shadab Jakati,15,2,2,7,6*,0,12,58.33,0,0,0,0
133,Juan Theron,2,1,1,7,7*,0,6,116.66,0,0,1,0
134,Glenn Maxwell,2,2,1,6,3*,6,11,54.54,0,0,0,0
135,Bhargav Bhatt,5,1,1,6,6*,0,2,300,0,0,0,1
136,RP Singh,11,5,3,6,3,3,12,50,0,0,0,0
137,Wriddhiman Saha,4,1,0,6,6,6,14,42.85,0,0,0,0
138,Asad Pathan,2,2,1,6,4,6,7,85.71,0,0,0,0
139,Chris Lynn,1,1,0,6,6,6,9,66.66,0,0,1,0
140,Harpreet Singh,1,1,0,6,6,6,6,100,0,0,0,0
141,Muttiah Muralitharan,10,2,0,6,6,3,9,66.66,0,0,0,0
142,Pragyan Ojha,9,3,1,5,4,2.5,14,35.71,0,0,0,0
143,Siddharth Trivedi,14,1,1,5,5*,0,6,83.33,0,0,0,0
144,Nuwan Kulasekara,5,1,1,5,5*,0,3,166.66,0,0,1,0
145,Dwaraka Ravi Teja,2,2,0,4,4,2,4,100,0,0,1,0
146,Thisara Perera,2,2,1,4,4*,4,9,44.44,0,0,0,0
147,Parvinder Awana,12,2,2,4,4*,0,5,80,0,0,0,0
148,Syed Mohammad,2,1,1,4,4*,0,1,400,0,0,1,0
149,Mohnish Mishra,1,1,0,4,4,4,4,100,0,0,1,0
150,Manpreet Gony,6,1,0,4,4,4,8,50,0,0,0,0