POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Imran Tahir,17,17,64.2,431,26,4/12,16.57,6.69,14.84,2,0
2,Kagiso Rabada,12,12,47,368,25,4/21,14.72,7.82,11.28,2,0
3,Deepak Chahar,17,17,64.3,482,22,3/20,21.9,7.47,17.59,0,0
4,Shreyas Gopal,14,14,48,347,20,3/12,17.35,7.22,14.4,0,0
5,Jasprit Bumrah,16,16,61.4,409,19,3/20,21.52,6.63,19.47,0,0
6,Khaleel Ahmed,9,9,34.5,287,19,3/30,15.1,8.23,11,0,0
7,Mohammad Shami,14,14,54,469,19,3/21,24.68,8.68,17.05,0,0
8,Yuzvendra Chahal,14,14,49.2,386,18,4/38,21.44,7.82,16.44,1,0
9,Rashid Khan,15,15,60,377,17,3/21,22.17,6.28,21.17,0,0
10,Harbhajan Singh,11,11,44,312,16,3/20,19.5,7.09,16.5,0,0
11,Lasith Malinga,12,12,44.5,438,16,4/31,27.37,9.76,16.81,2,0
12,Ravindra Jadeja,16,16,54,343,15,3/9,22.86,6.35,21.6,0,0
13,Ravichandran Ashwin,14,14,55,400,15,3/23,26.66,7.27,22,0,0
14,Hardik Pandya,16,16,42.3,390,14,3/20,27.85,9.17,18.21,0,0
15,Rahul Chahar,13,13,47,308,13,3/19,23.69,6.55,21.69,0,0
16,Ishant Sharma,13,13,46,349,13,3/38,26.84,7.58,21.23,0,0
17,Bhuvneshwar Kumar,15,15,59,461,13,2/24,35.46,7.81,27.23,0,0
18,Chris Morris,9,9,33,306,13,3/22,23.53,9.27,15.23,0,0
19,Krunal Pandya,16,16,46,335,12,3/34,27.91,7.28,23,0,0
20,Sandeep Sharma,11,11,42.4,352,12,3/19,29.33,8.25,21.33,0,0
21,Amit Mishra,11,11,40,270,11,3/17,24.54,6.75,21.81,0,0
22,Jofra Archer,11,11,43,291,11,3/15,26.45,6.76,23.45,0,0
23,Dwayne Bravo,12,12,41.1,330,11,3/33,30,8.01,22.45,0,0
24,Navdeep Saini,13,13,48,397,11,2/24,36.09,8.27,26.18,0,0
25,Andre Russell,14,12,30.1,287,11,2/21,26.09,9.51,16.45,0,0
26,Axar Patel,14,14,51,364,10,2/22,36.4,7.13,30.6,0,0
27,Sunil Narine,12,12,44.2,347,10,2/19,34.7,7.82,26.6,0,0
28,Piyush Chawla,13,13,44.3,399,10,3/20,39.9,8.96,26.7,0,0
29,Sam Curran,9,9,33,323,10,4/11,32.3,9.78,19.8,1,0
30,Jaydev Unadkat,11,11,37.2,398,10,2/26,39.8,10.66,22.4,0,0
31,Keemo Paul,8,8,27.1,237,9,3/17,26.33,8.72,18.11,0,0
32,Mohammad Nabi,8,8,29.1,194,8,4/11,24.25,6.65,21.87,1,0
33,Sandeep Lamichhane,6,6,23,210,8,3/40,26.25,9.13,17.25,0,0
34,Shardul Thakur,10,9,30,281,8,2/18,35.12,9.36,22.5,0,0
35,Umesh Yadav,11,11,37.5,371,8,3/36,46.37,9.8,28.37,0,0
36,Harry Gurney,8,8,27,238,7,2/25,34,8.81,23.14,0,0
37,Mohammed Siraj,9,9,28.1,269,7,2/38,38.42,9.55,24.14,0,0
38,Hardus Viljoen,6,6,23,222,7,2/39,31.71,9.65,19.71,0,0
39,Moeen Ali,11,9,25,169,6,2/18,28.16,6.76,25,0,0
40,Siddarth Kaul,7,7,27,242,6,2/34,40.33,8.96,27,0,0
41,Dhawal Kulkarni,10,10,35,335,6,1/14,55.83,9.57,35,0,0
42,Alzarri Joseph,3,3,8.4,87,6,6/12,14.5,10.03,8.66,0,1
43,Ben Stokes,9,6,16.5,189,6,2/39,31.5,11.22,16.83,0,0
44,Murugan Ashwin,10,10,34,255,5,2/25,51,7.5,40.8,0,0
45,Oshane Thomas,4,4,10,79,5,2/6,15.8,7.9,12,0,0
46,Trent Boult,5,5,19,163,5,2/27,32.6,8.57,22.8,0,0
47,Jason Behrendorff,5,5,19,165,5,2/22,33,8.68,22.8,0,0
48,Mitchell Santner,4,4,14,94,4,2/13,23.5,6.71,21,0,0
49,Washington Sundar,3,3,9,74,4,3/24,18.5,8.22,13.5,0,0
50,Dale Steyn,2,2,8,69,4,2/29,17.25,8.62,12,0,0
51,Kuldeep Yadav,9,9,33,286,4,2/41,71.5,8.66,49.5,0,0
52,Prasidh Krishna,11,11,40.2,377,4,1/22,94.25,9.34,60.5,0,0
53,Ish Sodhi,2,2,7.1,67,4,3/26,16.75,9.34,10.75,0,0
54,Varun Aaron,5,5,12,116,4,2/20,29,9.66,18,0,0
55,Mitchell McClenaghan,5,5,18,142,3,3/40,47.33,7.88,36,0,0
56,Nitish Rana,14,6,8,72,3,1/8,24,9,16,0,0
57,Pawan Negi,7,4,11.1,102,3,2/21,34,9.13,22.33,0,0
58,Ankit Rajpoot,4,4,16,152,3,2/33,50.66,9.5,32,0,0
59,Mujeeb Ur Rahman,5,5,19,191,3,2/31,63.66,10.05,38,0,0
60,Andrew Tye,6,6,22,233,3,1/37,77.66,10.59,44,0,0
61,Arshdeep Singh,3,3,10,109,3,2/43,36.33,10.9,20,0,0
62,Rahul Tewatia,5,3,6.2,42,2,1/10,21,6.63,19,0,0
63,Jagadeesha Suchith,1,1,4,28,2,2/28,14,7,12,0,0
64,Sandeep Warrier,3,3,12,85,2,2/31,42.5,7.08,36,0,0
65,Riyan Parag,7,7,14,121,2,1/10,60.5,8.64,42,0,0
66,Marcus Stoinis,10,6,16.4,145,2,1/13,72.5,8.7,50,0,0
67,Shakib Al Hasan,3,3,10.5,95,2,1/26,47.5,8.76,32.5,0,0
68,Scott Kuggeleijn,2,2,8,71,2,2/37,35.5,8.87,24,0,0
69,Harshal Patel,2,2,8,77,2,2/40,38.5,9.62,24,0,0
70,Shahbaz Nadeem,3,3,9,90,2,1/24,45,10,27,0,0
71,Lockie Ferguson,5,5,17,183,2,1/38,91.5,10.76,51,0,0
72,Anukul Roy,1,1,2,11,1,1/11,11,5.5,12,0,0
73,Stuart Binny,8,5,7,44,1,1/19,44,6.28,42,0,0
74,Jayant Yadav,2,2,7,50,1,1/25,50,7.14,42,0,0
75,Krishnappa Gowtham,7,7,20,166,1,1/32,166,8.3,120,0,0
76,Sherfane Rutherford,7,6,6.5,59,1,1/6,59,8.63,41,0,0
77,Vijay Shankar,15,5,8,70,1,1/11,70,8.75,48,0,0
78,Mohit Sharma,1,1,3,27,1,1/27,27,9,18,0,0
79,Kulwant Khejroliya,2,2,5,47,1,1/29,47,9.4,30,0,0
80,Mayank Markande,3,3,6,59,1,1/23,59,9.83,36,0,0
81,Deepak Hooda,11,2,2,21,1,1/13,21,10.5,12,0,0
82,Abhishek Sharma,3,2,2,21,1,1/10,21,10.5,12,0,0
83,Prithvi Raj Yarra,2,2,5,57,1,1/29,57,11.4,30,0,0
84,Karn Sharma,1,1,2.5,33,1,1/33,33,11.64,17,0,0
85,Varun Chakaravarthy,1,1,3,35,1,1/35,35,11.66,18,0,0
86,Tim Southee,3,3,9,118,1,1/24,118,13.11,54,0,0
87,Ben Cutting,3,1,2,27,1,1/27,27,13.5,12,0,0
88,Shivam Dube,4,2,1.4,8,0,0/3,0,4.8,0,0,0
89,Suresh Raina,17,1,1,6,0,0/6,0,6,0,0,0
90,Yusuf Pathan,10,1,1,8,0,0/8,0,8,0,0,0
91,Hanuma Vihari,2,1,1,9,0,0/9,0,9,0,0,0
92,Basil Thampi,3,3,12,110,0,0/29,0,9.16,0,0,0
93,Harpreet Brar,2,2,5,48,0,0/24,0,9.6,0,0,0
94,Carlos Brathwaite,2,2,3,29,0,0/13,0,9.66,0,0,0
95,Avesh Khan,1,1,3,30,0,0/30,0,10,0,0,0
96,Rasikh Salam,1,1,4,42,0,0/42,0,10.5,0,0,0
97,Colin de Grandhomme,4,3,5,55,0,0/12,0,11,0,0,0
98,Barinder Sran,2,2,4,51,0,0/24,0,12.75,0,0,0
99,Liam Livingstone,4,1,1,13,0,0/13,0,13,0,0,0
100,Mandeep Singh,13,2,2,26,0,0/8,0,13,0,0,0
101,Sudhesan Midhun,1,1,2,27,0,0/27,0,13.5,0,0,0
102,Prayas Ray Barman,1,1,4,56,0,0/56,0,14,0,0,0
103,KC Cariappa,1,1,2,34,0,0/34,0,17,0,0,0
104,Sarfaraz Khan,8,1,0.2,6,0,0/6,0,18,0,0,0